id,Q1,RQ1,Q2a1,Q2a2,MQ2A2_61,RQ2A2,Q2B,Q2A2_14,MQ2A2_1461,RQ2A2_14,Q3,Q3B1,Q3B2,Q3B3,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,총액1인MIS,C총액1인TOT,DAY평균,RDAY평균,Q7,Q8,Q9,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_ENT,D_PLA,D_Q1,D_TYP
10251,3,3.00,329,330,,14.00,1,316.00,,14.00,3,,,,1,2,,,,,,,,,,,,14,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,,6.00,,,4,5,5,6.00,2.00,2.00,1.00,3.00,3.00,1.00,1.00,3.00,1.00
10252,6,4.00,200,201,,14.00,1,187.00,,14.00,2,13,,,1,2,3,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,2657.43,3.00,,,4,5,4,6.00,2.00,10.00,1.00,4.00,2.00,1.00,2.00,4.00,
10257,6,4.00,299,300,,14.00,1,286.00,,14.00,4,,,,,,,,,,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6.00,,,4,5,5,6.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,4.00,1.00
10261,2,2.00,128,129,,14.00,1,115.00,,14.00,4,,,,1,,,,,,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5484.50,5.00,,,5,5,5,6.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,2.00,
10263,6,4.00,240,241,,14.00,1,227.00,,14.00,4,,,,1,2,3,4,5,,,,,,,,,,15,,,1,,,,,,,8,,,,,,,,,,1,,,,5,,,,4429.05,4.00,,,5,5,5,6.00,2.00,2.00,2.00,1.00,4.00,1.00,2.00,4.00,
10272,3,3.00,299,300,,14.00,1,286.00,,14.00,4,,,,1,2,3,,,,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6.00,,,5,5,5,6.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,3.00,1.00
10274,15,4.00,209,210,,14.00,1,196.00,,14.00,2,3,2,1,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,6200.67,5.00,,,4,4,4,6.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,4.00,
10278,1,1.00,150,151,,14.00,1,137.00,,14.00,4,,,,,,3,4,5,6,,,,,,,,,15,,,1,,,,,,7,,9,,11,,13,14,15,,17,1,,,,5,6,7,8,4887.60,4.00,,,5,2,5,6.00,2.00,13.00,1.00,2.00,4.00,1.00,1.00,1.00,
10279,4,4.00,299,300,,14.00,1,286.00,,14.00,4,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6.00,,,4,5,5,6.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,4.00,1.00
10281,1,1.00,120,121,,14.00,1,107.00,,14.00,4,,,,,2,3,4,,6,,,9,,11,,,,15,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,2443.80,3.00,,,4,5,5,6.00,2.00,97.00,2.00,2.00,4.00,1.00,1.00,1.00,
10282,2,2.00,270,271,,14.00,1,257.00,,14.00,2,13,,,,2,3,4,5,6,,,,,11,,13,,,,,,,,,,,,,,,11,12,13,,,,,,,,,,6,,,4678.08,4.00,,,3,4,4,6.00,2.00,11.00,2.00,2.00,2.00,1.00,1.00,2.00,
10290,2,2.00,329,330,,14.00,1,316.00,,14.00,4,,,,1,2,,,,,,,,,,12,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,9402.00,5.00,,,4,4,4,6.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,2.00,1.00
10292,3,3.00,60,61,,13.00,1,47.00,47.00,12.00,3,,,,1,2,3,4,,,,,,,,,,14,,,,1,,,,,,,,,,11,,13,,,,,1,,,,,6,,,6964.83,5.00,,,4,3,4,6.00,2.00,13.00,1.00,5.00,3.00,1.00,1.00,3.00,
10293,1,1.00,269,270,,14.00,1,256.00,,14.00,4,,,,1,2,3,,,,,,,,,,13,,15,,,1,2,3,,,6,,,,,,,,,,,,1,2,3,,5,,,,,6.00,,,4,4,4,6.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,1.00,
10299,4,4.00,359,360,,14.00,1,346.00,,14.00,4,,,,1,,3,,5,,,,,,,,,,15,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,5484.50,5.00,,,5,5,5,6.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,4.00,
10301,1,1.00,240,241,,14.00,1,227.00,,14.00,2,13,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,1,,,,,,,,3000.00,3.00,,,5,5,5,6.00,2.00,9.00,1.00,2.00,2.00,1.00,1.00,1.00,
10303,1,1.00,180,181,,14.00,1,167.00,,14.00,4,,,,1,2,,4,,6,7,,,,11,,,,15,,,1,,3,,,,,,,,,,13,14,,,,1,,3,,,6,7,,6109.50,5.00,,,4,2,5,6.00,2.00,13.00,1.00,2.00,4.00,1.00,2.00,1.00,1.00
10306,10,4.00,88,89,,13.00,1,75.00,,13.00,3,,,,,,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,9124.00,5.00,,,3,3,2,6.00,2.00,1.00,1.00,2.00,3.00,1.00,2.00,4.00,
10308,5,4.00,299,300,,14.00,1,286.00,,14.00,4,,,,,2,,4,,6,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6.00,,,4,4,3,6.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,4.00,1.00
10312,4,4.00,89,90,,13.00,1,76.00,,13.00,3,,,,,,,,,,,,,,,,,14,,,,,2,3,,,,,,,,,,,,,,,,2,3,,,,,,9124.00,5.00,,,3,5,5,6.00,2.00,1.00,1.00,3.00,3.00,1.00,2.00,4.00,1.00
10313,1,1.00,90,91,,14.00,1,77.00,,13.00,4,,,,,2,,4,,6,,,,,11,12,,,15,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,5000.00,4.00,,,5,5,5,6.00,2.00,9.00,2.00,2.00,4.00,1.00,2.00,1.00,1.00
10319,1,1.00,10,11,11.00,11.00,2,11.00,11.00,11.00,3,,,,,2,,,,,,,,,,,,14,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,3665.70,4.00,333.25,4.00,4,5,4,6.00,2.00,12.00,1.00,4.00,3.00,2.00,1.00,1.00,
10321,1,1.00,210,211,,14.00,1,197.00,,14.00,4,,,,1,2,3,,5,,,,,,,,,,15,,,1,,,4,,,7,8,,,,,13,14,,,17,1,,,4,5,6,7,8,7331.40,5.00,,,5,5,5,6.00,2.00,97.00,1.00,3.00,4.00,1.00,1.00,1.00,
10324,3,3.00,150,151,,14.00,1,137.00,,14.00,4,,,,1,2,,,,6,,,,,,,,,15,,,1,,,,5,,,,,,,,13,,,,,1,,,,5,6,,,1000.00,1.00,,,5,2,5,6.00,2.00,15.00,2.00,1.00,4.00,1.00,1.00,3.00,1.00
10329,1,1.00,150,151,,14.00,1,137.00,,14.00,4,,,,,2,3,4,5,,,,,,11,12,,,15,,,1,,3,,,,,,,,,,13,,,,,1,,3,,,6,,,,6.00,,,5,5,5,6.00,2.00,15.00,2.00,1.00,4.00,1.00,1.00,1.00,1.00
10349,1,1.00,240,241,,14.00,1,227.00,,14.00,4,,,,1,2,3,,,,,,,,11,,,,15,,,1,,,4,,,,,,,,,13,,,,,1,,,4,,6,,,9775.20,5.00,,,5,2,5,6.00,2.00,12.00,2.00,2.00,4.00,1.00,1.00,1.00,
10352,1,1.00,300,301,,14.00,1,287.00,,14.00,4,,,,,2,3,4,5,6,,,,,,,13,,15,,,1,,3,,,,,,,,,,13,,,,17,1,,3,,,6,,8,9775.20,5.00,,,5,4,5,6.00,2.00,13.00,1.00,2.00,4.00,1.00,2.00,1.00,
10353,1,1.00,150,151,,14.00,1,137.00,,14.00,4,,,,1,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6.00,,,5,4,4,6.00,2.00,15.00,2.00,1.00,4.00,1.00,1.00,1.00,
10355,10,4.00,21,22,22.00,11.00,2,22.00,22.00,11.00,3,,,,,2,,,,,,,,,,,,14,,,,,,,,,6,,,,,,,,,,,,,,,,5,,,,,6.00,,,4,5,5,6.00,2.00,12.00,1.00,1.00,3.00,2.00,1.00,4.00,
10362,1,1.00,120,121,,14.00,1,107.00,,14.00,4,,,,1,2,3,4,5,6,,,,,11,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5000.00,4.00,,,5,5,5,6.00,2.00,97.00,2.00,2.00,4.00,1.00,1.00,1.00,
