IDX,Q1,RQ1,Q2_1,Q2_2A1,Q2_2A2,Q2_2A3,Q3A1,MQ3A1_60,RQ3A1,Q3A2,MQ3A2_61,RQ3A2,Q3B,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4K01,Q4K02,Q4K03,Q4K04,Q4K05,Q4K06,Q4K07,Q4K08,MQ5_1T,CQ5_1T,DAY평균,RDAY평균,Q6,Q6_1,Q7A01,Q7A02,Q7A03,Q7A04,Q7A05,Q7A06,Q7A07,Q7A08,Q7A09,Q7A10,Q7A11,Q7A12,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_ENT
974.00,2,2.00,3,,,,30.00,30.00,12,31.00,31.00,11.00,1,1.00,,3.00,,,,,,,,,,,,,,,1,,3,,,,,,1016.26,3.00,32.78,1.00,4,4,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,40.00,3.00,2.00,1.00
975.00,3,3.00,2,2,1,5,30.00,30.00,12,31.00,31.00,11.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1355.01,3.00,43.71,1.00,4,5,1,2,,,,,,,,,,,10.00,4.00,2.00,1.00,60.00,2.00,3.00,1.00
976.00,2,2.00,2,1,2,4,30.00,30.00,12,31.00,31.00,11.00,1,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,1693.77,4.00,54.64,1.00,4,5,1,2,,,,,,,,,,,10.00,4.00,2.00,1.00,50.00,2.00,2.00,1.00
977.00,3,3.00,2,1,2,7,300.00,,14,301.00,,13.00,1,1.00,2.00,3.00,4.00,,,,,,,,,13.00,,,,,1,2,3,4,,6,,,1693.77,4.00,,,5,5,1,2,,,,,,,,,,,10.00,4.00,2.00,1.00,30.00,2.00,3.00,1.00
978.00,3,3.00,2,4,1,2,30.00,30.00,12,31.00,31.00,11.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,973.92,2.00,31.42,1.00,4,4,1,2,6,,,,,,,,,,10.00,4.00,2.00,2.00,40.00,2.00,3.00,1.00
979.00,2,2.00,2,1,5,11,150.00,,14,151.00,,13.00,1,,,,,,,7.00,,,,,,,,,,,,,,,5,,,,,98.00,,,4,4,2,10,,,,,,,,,,,10.00,4.00,2.00,1.00,60.00,2.00,2.00,1.00
980.00,1,1.00,3,,,,239.00,,14,240.00,,13.00,1,1.00,,3.00,4.00,,,,,,10.00,,,,,,,17.00,1,,3,4,,6,,8,,98.00,,,5,3,1,3,4,13,,,,,,,,,10.00,4.00,12.00,1.00,30.00,3.00,1.00,1.00
981.00,2,2.00,4,,,,150.00,,14,151.00,,13.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,5081.30,6.00,,,5,4,14,,,,,,,,,,,,10.00,4.00,2.00,2.00,20.00,4.00,2.00,1.00
982.00,8,4.00,1,1,2,10,290.00,,14,291.00,,13.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,5928.18,6.00,,,3,4,2,,,,,,,,,,,,10.00,4.00,2.00,2.00,20.00,1.00,4.00,
983.00,10,4.00,3,,,,309.00,,14,310.00,,13.00,,1.00,2.00,,,5.00,,,,,,,,,,,,,1,2,,,5,,,,,98.00,,,4,2,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,30.00,3.00,4.00,
984.00,9,4.00,3,,,,360.00,,14,361.00,,13.00,,1.00,2.00,3.00,4.00,5.00,,7.00,,,,11.00,,13.00,,,,,1,2,3,4,5,6,,,8468.83,6.00,,,5,5,1,2,3,4,12,13,,,,,,,10.00,4.00,2.00,1.00,20.00,3.00,4.00,
985.00,20,4.00,3,,,,21.00,21.00,12,22.00,22.00,11.00,2,,2.00,,,,,7.00,,,,,,,,,,,,2,,,5,,,,5875.50,6.00,267.07,3.00,5,5,13,,,,,,,,,,,,10.00,4.00,12.00,1.00,50.00,3.00,4.00,2.00
986.00,20,4.00,3,,,,90.00,,14,91.00,,13.00,1,1.00,2.00,3.00,4.00,,6.00,,,,,,,,,,,,1,2,3,4,5,,,,3810.98,6.00,,,5,5,2,13,3,4,14,,,,,,,,10.00,4.00,12.00,2.00,20.00,3.00,4.00,1.00
987.00,1,1.00,3,,,,40.00,40.00,13,41.00,41.00,11.00,2,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3500.00,6.00,85.37,1.00,4,4,13,,,,,,,,,,,,10.00,4.00,2.00,1.00,30.00,3.00,1.00,2.00
988.00,1,1.00,2,13,,,360.00,,14,361.00,,13.00,1,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,3000.00,5.00,,,4,5,4,,,,,,,,,,,,10.00,4.00,9.00,2.00,20.00,2.00,1.00,1.00
989.00,20,4.00,3,,,,10.00,10.00,10,11.00,11.00,11.00,2,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3674.50,6.00,334.05,4.00,4,5,13,,,,,,,,,,,,10.00,4.00,4.00,1.00,50.00,3.00,4.00,2.00
990.00,1,1.00,3,,,,60.00,60.00,14,61.00,,12.00,1,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2540.65,5.00,,,5,5,3,2,4,7,13,,,,,,,,10.00,4.00,7.00,1.00,20.00,3.00,1.00,1.00
991.00,5,4.00,3,,,,42.00,42.00,13,43.00,43.00,11.00,2,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,4234.42,6.00,98.47,1.00,5,5,13,2,3,4,6,,,,,,,,10.00,4.00,97.00,1.00,30.00,3.00,4.00,2.00
992.00,2,2.00,1,10,2,,360.00,,14,361.00,,13.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,,98.00,,,5,2,1,2,3,10,,,,,,,,,10.00,4.00,2.00,1.00,50.00,1.00,2.00,
993.00,10,4.00,3,,,,364.00,,14,365.00,,13.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,9315.72,6.00,,,5,5,13,,,,,,,,,,,,10.00,4.00,2.00,2.00,50.00,3.00,4.00,
994.00,2,2.00,3,,,,270.00,,14,271.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,6775.07,6.00,,,4,4,13,2,1,3,,,,,,,,,10.00,4.00,2.00,1.00,50.00,3.00,2.00,
