pnid,MVIT,RVIT,XRVIT,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a99,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R1일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인MIS,총액1인TOT2,총액1인MIS_개별국제교통비제외,총액1인TOT항공제외2,C총액1인MIS,C총액1인TOT2,C총액1인MIS_개별국제교통비제외,C총액1인TOT항공제외2,MDAY전체,MDAY전체TOT_RAW2,MDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외,MDAY전체TOT_RAW61항공제외2,RDAY전체,RDAY전체TOT_RAW2,RDAY전체TOT_RAW61,RDAY전체_개별국제교통비제외,RDAY전체TOT_RAW61항공제외2,MDAY개별대체,MDAY에어대체,MDAY단체대체,MDAY개별61대체,MDAY에어61대체,MDAY단체61대체,MDAY개별61항공제외대체,MDAY에어61항공제외대체,MDAY단체61항공제외대체,RDAY개별대체,RDAY에어대체,RDAY단체대체,RDAY개별61대체,RDAY에어61대체,RDAY단체61대체,RDAY개별61항공제외대체,RDAY에어61항공제외대체,RDAY단체61항공제외대체,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q13,Q14,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight
9682.0,8.00,4.00,5.00,1,1,7,4,5,1,6,4,,2,7,8,7,8,4,1,5,10,7,3,1,,7,2,5,6,4,9,,2,1,,,4,,,7,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,,,4,,,7,8,,,,,,,,,,,,7,4,8,11002.0,,,,,1,,,,,,,,,,,,13,,,,,1.00,,,,,6.00,,,,,3.00,1.00,2.00,21.00,22.00,22.00,4.00,21.00,,,,,,,,,,,,0.00,,,,,22.00,,,,,,,,,,,,1.00,,,,,21.00,,,,,,,,,,,,0.00,,,,,22.00,,,,,,,,,,,,1.00,,,,,,,,,5.00,,,,,,,,,21.00,,,,,,,,21.00,,,,3038.32,3038.32,2386.32,2386.32,4.00,4.00,3.00,3.00,138.11,138.11,138.11,108.47,108.47,3.00,3.00,3.00,3.00,3.00,138.11,,,138.11,,,108.47,,,3.00,,,3.00,,,3.00,,,0.00,0.00,1304.00,652.00,6.52,652.00,0.00,0.00,0.00,0.00,0.00,163.00,163.00,0.00,0.00,0.00,0.00,0.00,97.80,0.00,0.00,0.00,1.00,1.00,5.00,4.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,5,5,,,5,,,5,5,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,3,6.00,2.00,3.00,2.00,3.00,1.00,4.00,1.00,708.15
9684.0,10.00,4.00,5.00,1,1,3,2,7,1,12,3,,2,3,8,5,4,1,6,4,5,1,,,,1,5,,,,,11,3,1,,,,,,,,,,,2.00,,,,,,6,,,4.00,3.00,0.00,4.00,3.00,3.00,3.00,0.00,3.00,3.00,1,2,3,4,5,6,,8,,,,,,,,,,,,1,2,5,41003.0,,,,,1,2,,,,,,,,,,,,,,,,1.00,2.00,,,,,,,1.00,,,1.00,,6.00,7.00,7.00,2.00,6.00,0.00,,,,,,,,,,,,,,,,7.00,1.00,,,,,,,,,,,,,,,,6.00,0.00,,,,,,,,,,,,,,,,7.00,1.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,6.00,,,,,,,,6.00,,,,,,,,2991.47,2991.47,2249.17,2249.17,3.00,3.00,3.00,3.00,427.35,427.35,427.35,321.31,321.31,4.00,4.00,4.00,4.00,4.00,427.35,,,427.35,,,321.31,,,4.00,,,4.00,,,4.00,,,222.69,22.27,742.30,371.15,74.23,0.00,742.30,0.00,0.00,0.00,0.00,74.23,74.23,0.00,0.00,74.23,0.00,519.61,74.23,0.00,0.00,0.00,3.00,1.00,5.00,4.00,3.00,1.00,5.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,3.00,1.00,4.00,3.00,1.00,1.00,1.00,,2,3,4,,,,,,10,,,,0.00,40.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,3,5,4,4,5,5,5,5,5,5,,5,,,,,,,,4,3,5,4,5,5,4,4,4,4,4,4,5,6.00,2.00,10.00,2.00,6.00,1.00,4.00,1.00,305.21
9685.0,1.00,1.00,,3,1,7,3,10,1,12,6,,2,9,10,1,3,5,3,5,9,3,4,1,,9,1,5,1,3,2,,4,,,,,,,,,,,,2.00,,,,4,,,7,8,19.00,18.00,3.00,16.00,15.00,3.00,3.00,3.00,3.00,3.00,1,2,,,5,6,,8,,,11,,,,,,,,,5,8,1,11001.0,11012.0,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,4.00,5.00,5.00,2.00,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,4.00,,,,,,,,4.00,,,,,,,,1499.60,1499.60,1499.60,1499.60,2.00,2.00,2.00,2.00,299.92,299.92,299.92,299.92,299.92,3.00,3.00,3.00,3.00,3.00,,,299.92,,,299.92,,,299.92,,,3.00,,,3.00,,,3.00,978.00,0.00,,24.45,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,489.00,8.15,0.00,0.00,0.00,4.00,1.00,,2.00,1.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,1.00,1.00,1.00,1,2,,,,,7,,,,,,,30.00,50.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,4,3,7,4,4,3,,,5,3,,5,,,3,,,,,4,2,4,4,4,4,4,3,3,3,5,4,4,6.00,2.00,3.00,2.00,6.00,1.00,1.00,3.00,1082.88
9686.0,3.00,3.00,5.00,3,1,2,8,,1,6,11,,4,5,2,4,8,,6,3,9,1,2,,,10,,,,,,11,5,,,,,,,,,,,,2.00,,2,,4,,6,,8,18.00,17.00,4.00,14.00,13.00,3.00,3.00,3.00,3.00,3.00,1,2,,4,5,,,8,,,,,,,,,,,,1,5,2,11001.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,4.00,5.00,5.00,2.00,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,4.00,,,,,,,,4.00,,,,,,,,1434.40,1434.40,1434.40,1434.40,2.00,2.00,2.00,2.00,286.88,286.88,286.88,286.88,286.88,3.00,3.00,3.00,3.00,3.00,,,286.88,,,286.88,,,286.88,,,3.00,,,3.00,,,3.00,869.33,0.00,,10.87,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,543.33,10.87,0.00,0.00,0.00,4.00,1.00,,2.00,1.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,1.00,1.00,1.00,1,2,,,,,7,,,,,,,30.00,20.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,2,6,7,5,5,5,,5,5,,,5,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,6.00,2.00,3.00,1.00,3.00,1.00,3.00,3.00,670.69
9687.0,2.00,2.00,5.00,1,1,7,,,,,,15,,,,7,,,8,,,1,,,,6,,,2,,,,6,1,,,,,,7,,,,,2.00,,,,,,6,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,,,,,7,,,,,,,,,,,,,7,1,2,11021.0,11114.0,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,3.00,4.00,4.00,2.00,3.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,3.00,,,,,,,,3.00,,,,,,,,1038.24,1038.24,750.24,750.24,2.00,2.00,1.00,1.00,259.56,259.56,259.56,187.56,187.56,3.00,3.00,3.00,3.00,3.00,259.56,,,259.56,,,187.56,,,3.00,,,3.00,,,3.00,,,0.00,0.00,216.00,108.00,36.00,288.00,0.00,0.00,0.00,0.00,0.00,21.60,8.64,0.00,0.00,122.40,0.00,216.00,21.60,0.00,0.00,0.00,1.00,1.00,4.00,4.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,4.00,1.00,4.00,2.00,1.00,1.00,1.00,1,,3,,,,,,,,11,,,30.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,6,4,,5,5,5,,,,,5,,,,,,,,,5,1,3,3,3,4,1,2,3,3,,5,5,6.00,2.00,2.00,2.00,5.00,1.00,2.00,1.00,1623.13
9688.0,5.00,4.00,5.00,1,2,7,9,5,,,,15,,,,5,7,1,2,1,6,1,4,3,,6,5,7,,,,11,5,,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,2,3,4,5,6,,,,,11,,,,,,,,,4,11,1,11012.0,,,,,1,,3,,,,,,,,,,,,,,,1.00,,3.00,,,,,,1.00,,,1.00,,4.00,5.00,5.00,2.00,2.00,,2.00,,,,,,,,,,,,,,,3.00,,3.00,,,,,,,,,,,,,,,2.00,,2.00,,,,,,,,,,,,,,,3.00,,3.00,,,,,,,,,,,,,,,1.00,,,,,,7.00,,,2.00,,,,,,2.00,,2.00,,,,,,2.00,,954.00,954.00,716.40,716.40,1.00,1.00,1.00,1.00,190.80,190.80,190.80,143.28,143.28,3.00,3.00,3.00,3.00,3.00,190.80,,,190.80,,,143.28,,,3.00,,,3.00,,,3.00,,,0.00,0.00,288.00,72.00,108.00,237.60,0.00,0.00,0.00,0.00,0.00,21.60,21.60,0.00,0.00,10.80,36.00,144.00,14.40,0.00,0.00,0.00,1.00,1.00,4.00,3.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00,4.00,2.00,1.00,1.00,1.00,,2,3,,,,,,,,,,,0.00,70.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,6,2,5,4,4,5,5,5,5,,,,,5,,,,,5,3,3,3,4,5,3,3,3,4,,5,5,6.00,2.00,2.00,2.00,3.00,2.00,4.00,1.00,1575.14
9689.0,10.00,4.00,5.00,1,3,,,,1,,,,3,,,,,,,,,4,,,,,,,,,,11,5,1,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,2,3,4,,,,,,,,,,,,,17,,,1,3,4,11024.0,,,,,1,,,,,,,,9,,,,,,,,,1.00,,,,,6.00,,,,,3.00,1.00,2.00,9.00,10.00,10.00,3.00,9.00,,,,,,,,0.00,,,,,,,,,10.00,,,,,,,,1.00,,,,,,,,,9.00,,,,,,,,0.00,,,,,,,,,10.00,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,,,9.00,,,,,,,,9.00,,,,,,,,,12072.50,5190.00,5190.00,98.00,6.00,5.00,5.00,,1319.00,1319.00,519.00,519.00,,5.00,5.00,5.00,5.00,1319.00,,,1319.00,,,519.00,,,5.00,,,5.00,,,5.00,,,0.00,0.00,1830.55,915.28,457.64,0.00,7322.21,0.00,0.00,0.00,0.00,366.11,183.06,0.00,0.00,0.00,0.00,915.28,82.37,0.00,0.00,0.00,1.00,1.00,5.00,4.00,4.00,1.00,5.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,4.00,3.00,1.00,1.00,1.00,,2,3,,,,,,,,,,,0.00,30.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,6,,4,5,4,4,4,,,,,,,,,,,,3,5,5,3,4,5,4,4,5,4,,5,5,6.00,2.00,4.00,1.00,6.00,3.00,4.00,1.00,797.21
9690.0,1.00,1.00,,1,1,9,7,10,3,,,,8,,,2,,,1,10,5,1,,,,6,5,,1,,,,6,1,,,,5,,,,,,,2.00,,,,,,6,,,3.00,2.00,0.00,3.00,2.00,3.00,2.00,0.00,3.00,2.00,1,2,,,,,,,,,,,,,,,,,,2,1,,11001.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,3.00,4.00,4.00,2.00,3.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,3.00,,,,,,,,3.00,,,,,,,,594.00,594.00,392.40,392.40,1.00,1.00,1.00,1.00,148.50,148.50,148.50,98.10,98.10,3.00,3.00,3.00,2.00,2.00,148.50,,,148.50,,,98.10,,,3.00,,,3.00,,,2.00,,,0.00,0.00,180.00,72.00,0.00,201.60,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,108.00,14.40,0.00,0.00,0.00,1.00,1.00,3.00,3.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,1.00,1.00,1.00,,,3,,,,,,,,11,,,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,2,6,4,5,5,5,,,,,,,,,,,,,,4,3,3,4,5,4,3,3,3,3,,5,5,6.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,814.70
9691.0,2.00,2.00,5.00,1,1,5,2,,7,,,,8,,,2,1,,6,5,,,,,9,,,,,,,11,5,1,,,,,,,,,,,2.00,,,,,,6,,,3.00,2.00,0.00,3.00,2.00,3.00,2.00,0.00,3.00,2.00,1,2,,,,,,,,,,,,,,,,,,1,2,,11522.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,2.00,3.00,3.00,1.00,2.00,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,2.00,,,,,,,,2.00,,,,,,,,685.44,685.44,426.24,426.24,1.00,1.00,1.00,1.00,228.48,228.48,228.48,142.08,142.08,3.00,3.00,3.00,3.00,3.00,228.48,,,228.48,,,142.08,,,3.00,,,3.00,,,3.00,,,0.00,0.00,108.00,72.00,14.40,259.20,0.00,0.00,0.00,0.00,0.00,8.64,0.00,0.00,0.00,0.00,0.00,216.00,7.20,0.00,0.00,0.00,1.00,1.00,3.00,3.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,1.00,1.00,1.00,1,,3,,,,,,9,,,,,80.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6,,,5,5,5,,,,,,,,,,,,,,5,5,5,5,5,5,5,9,5,9,,5,5,6.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,814.70
9692.0,2.00,2.00,5.00,1,1,7,9,,6,1,4,,3,6,4,11,10,6,2,6,5,1,3,,,4,,,3,,,,4,1,2,,,5,,,,,,,2.00,,,,,,6,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,3,4,5,6,,,,10,,,,,15,,,,,10,1,2,11002.0,11003.0,26001.0,,,1,,,,,,,,,,,,13,,,,,1.00,,,,,6.00,,,,,3.00,1.00,2.00,7.00,8.00,8.00,3.00,4.00,,,,,,,,,,,,3.00,,,,,5.00,,,,,,,,,,,,4.00,,,,,4.00,,,,,,,,,,,,3.00,,,,,5.00,,,,,,,,,,,,4.00,,,,,1.00,,,,,,,,,7.00,,,,,,,,7.00,,,,,,,,2366.76,2366.76,1877.76,1877.76,3.00,3.00,2.00,2.00,295.85,295.85,295.85,234.72,234.72,3.00,3.00,3.00,3.00,3.00,295.85,,,295.85,,,234.72,,,3.00,,,3.00,,,3.00,,,0.00,0.00,652.00,326.00,97.80,0.00,489.00,0.00,52.16,0.00,0.00,0.00,22.82,39.12,0.00,16.30,0.00,652.00,19.56,0.00,0.00,0.00,1.00,1.00,5.00,4.00,3.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,2.00,3.00,1.00,2.00,1.00,4.00,2.00,1.00,1.00,1.00,1,2,3,,,,,,,,,,,30.00,10.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,5,3,5,5,5,5,5,5,5,,,,5,,,,,5,5,5,5,5,5,5,5,5,5,5,,5,5,6.00,2.00,3.00,1.00,2.00,1.00,2.00,1.00,558.01
9693.0,3.00,3.00,5.00,1,1,8,2,,1,,,,7,8,,1,2,3,3,6,1,1,4,5,,6,5,1,,,,11,4,1,,,,,,,,,,,2.00,,,,,5,,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,3,4,5,,,,,,,,,,,,,,,1,2,5,11002.0,11024.0,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,4.00,5.00,5.00,2.00,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,4.00,,,,,,,,4.00,,,,,,,,1727.80,1727.80,1238.80,1238.80,2.00,2.00,2.00,2.00,345.56,345.56,345.56,247.76,247.76,4.00,4.00,4.00,3.00,3.00,345.56,,,345.56,,,247.76,,,4.00,,,4.00,,,3.00,,,0.00,0.00,244.50,244.50,32.60,0.00,489.00,0.00,0.00,0.00,0.00,32.60,16.30,0.00,0.00,8.15,0.00,652.00,8.15,0.00,0.00,0.00,1.00,1.00,4.00,4.00,3.00,1.00,4.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,1.00,4.00,2.00,1.00,1.00,1.00,1,2,,,,,7,,9,,,,,50.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,5,2,4,5,5,5,5,5,5,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,6.00,2.00,3.00,2.00,2.00,1.00,3.00,1.00,770.60
9694.0,12.00,4.00,5.00,2,1,7,,,6,,,,10,,,1,2,,4,,,1,6,,,5,4,,4,7,6,,3,1,,,,,,,,,,,2.00,,,,,,6,,,3.00,2.00,0.00,3.00,2.00,3.00,2.00,0.00,3.00,2.00,1,2,,,,,,,,,,,,,,,,,,2,1,,11021.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,2.00,3.00,3.00,1.00,2.00,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,2.00,,,,,,,,2.00,,,,,,,,525.60,525.60,525.60,525.60,1.00,1.00,1.00,1.00,175.20,175.20,175.20,175.20,175.20,3.00,3.00,3.00,3.00,3.00,,175.20,,,175.20,,,175.20,,,3.00,,,3.00,,,3.00,,288.00,0.00,,72.00,7.20,,,,0.00,0.00,0.00,14.40,0.00,0.00,0.00,0.00,0.00,144.00,0.00,0.00,0.00,0.00,3.00,1.00,,3.00,2.00,,,,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1,,3,,,,,,,,,,,40.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,,5,5,5,,,,,,,,,,,,,,5,4,5,5,2,5,5,5,5,5,,5,5,6.00,2.00,2.00,2.00,2.00,1.00,4.00,2.00,814.70
9695.0,1.00,1.00,,1,5,,,,1,,,,10,3,8,,,,,,,5,1,,,1,5,6,,,,11,2,1,,,4,,,,,9,,,2.00,,,,,,6,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,3,4,,,,,,10,,,,,,,,,,4,3,1,11002.0,11001.0,11005.0,11003.0,11513.0,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,3.00,4.00,4.00,2.00,3.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,3.00,,,,,,,,3.00,,,,,,,,2091.68,2091.68,463.43,463.42,3.00,3.00,1.00,1.00,522.92,522.92,522.92,115.86,115.86,5.00,5.00,5.00,3.00,3.00,522.92,,,522.92,,,115.86,,,5.00,,,5.00,,,3.00,,,0.00,0.00,137.78,100.20,25.05,1628.25,0.00,0.00,0.00,0.00,0.00,25.05,0.00,0.00,0.00,25.05,0.00,112.73,37.58,0.00,0.00,0.00,1.00,1.00,3.00,4.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,4.00,3.00,1.00,1.00,1.00,1,,,,,,,,,,,,,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,,,4,5,4,5,5,,,,,,4,,,,,,4,4,5,4,4,5,4,4,5,5,,5,5,6.00,2.00,16.00,2.00,2.00,5.00,1.00,1.00,194.54
9696.0,10.00,4.00,5.00,1,2,7,2,9,,,,15,,,,7,6,5,4,11,10,1,,,,5,2,6,,,,11,6,1,,3,,,,,,,,,2.00,,,,,,6,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,3,,,,7,,,,,,,,,,,,,7,3,1,42505.0,42501.0,,,,1,,,4,,,,,,,,,,,,,,1.00,,,4.00,,,,,,,3.00,1.00,2.00,3.00,4.00,4.00,2.00,1.00,,,2.00,,,,,,,,,,,,,,2.00,,,3.00,,,,,,,,,,,,,,1.00,,,2.00,,,,,,,,,,,,,,2.00,,,3.00,,,,,,,,,,,,,,1.00,,,,,,,,,3.00,,,,,,,,3.00,,,,,,,,975.60,975.60,687.60,687.60,1.00,1.00,1.00,1.00,243.90,243.90,243.90,171.90,171.90,3.00,3.00,3.00,3.00,3.00,243.90,,,243.90,,,171.90,,,3.00,,,3.00,,,3.00,,,0.00,0.00,360.00,72.00,14.40,288.00,0.00,0.00,0.00,0.00,0.00,14.40,3.60,90.00,28.80,0.00,0.00,72.00,18.00,0.00,0.00,14.40,1.00,1.00,4.00,3.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,2.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,,2,,,,,,,,,11,,,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,5,7,3,5,5,4,5,,,,5,,,,,,,,,5,5,5,4,5,5,5,5,5,5,,5,5,6.00,2.00,2.00,2.00,2.00,2.00,4.00,1.00,814.70
