ID,D_AGE,AGE_NAME,IS_HALLYU,IS_FIT,IS_FAMILY,IS_SOLO,TOTAL_SPEND
4705,5.00,50대,1,1,0,0,4
4706,4.00,40대,0,1,0,0,5
4707,2.00,20대,0,1,0,0,5
4708,3.00,30대,1,1,0,1,5
4709,3.00,30대,0,1,0,0,5
4710,2.00,20대,1,1,0,0,4
4711,3.00,30대,0,1,0,0,4
4712,2.00,20대,0,1,0,0,5
4713,5.00,50대,0,0,0,0,4
4714,2.00,20대,0,1,1,0,5
4715,5.00,50대,0,1,0,0,5
4716,2.00,20대,1,1,0,1,4
4717,4.00,40대,1,1,0,0,5
4718,5.00,50대,0,1,0,1,4
4719,3.00,30대,1,1,0,0,5
4720,2.00,20대,0,1,0,1,4
4721,3.00,30대,1,1,0,0,4
4722,2.00,20대,1,1,0,0,5
4723,3.00,30대,1,1,0,0,4
4724,1.00,10대,1,0,0,0,4
4725,2.00,20대,1,0,0,0,3
4726,2.00,20대,1,0,0,0,5
4727,3.00,30대,0,1,0,0,5
4728,3.00,30대,1,1,0,1,4
4729,3.00,30대,1,1,0,0,4
4730,2.00,20대,1,0,0,0,5
4731,2.00,20대,1,1,0,0,4
4732,5.00,50대,1,1,0,0,5
4733,2.00,20대,1,1,0,0,5
4734,3.00,30대,1,1,0,0,5
4735,2.00,20대,0,1,0,0,4
4736,4.00,40대,1,1,0,1,5
4737,4.00,40대,1,0,1,0,5
4738,2.00,20대,1,1,0,0,5
4739,3.00,30대,1,1,0,0,5
4740,6.00,60대이상,1,1,0,0,5
4741,5.00,50대,0,1,0,0,5
4742,3.00,30대,0,1,0,0,4
4743,2.00,20대,0,1,0,0,5
4744,5.00,50대,1,1,1,0,5
4745,2.00,20대,0,0,0,1,4
4746,4.00,40대,1,1,0,0,5
4747,2.00,20대,1,1,0,0,4
4748,5.00,50대,1,1,0,0,5
4749,5.00,50대,1,0,0,0,5
4750,2.00,20대,1,1,0,0,4
4751,2.00,20대,1,1,0,1,4
4752,4.00,40대,1,1,0,1,5
4753,4.00,40대,1,1,0,0,4
4754,3.00,30대,1,1,0,0,5
4755,2.00,20대,1,1,0,0,5
4756,2.00,20대,0,1,1,0,5
4757,2.00,20대,1,1,0,1,5
4758,3.00,30대,1,1,1,0,5
4759,5.00,50대,1,0,0,0,5
4760,2.00,20대,1,1,0,0,4
4761,2.00,20대,1,1,0,0,5
4762,2.00,20대,1,1,0,0,5
4763,2.00,20대,0,1,0,0,3
4764,3.00,30대,1,0,0,0,4
4765,2.00,20대,1,1,0,0,4
4766,2.00,20대,0,1,0,0,5
4767,3.00,30대,1,0,0,0,5
4768,2.00,20대,1,1,0,0,3
4769,4.00,40대,1,1,0,0,5
4770,2.00,20대,0,1,1,0,5
4771,2.00,20대,1,1,0,0,4
4772,5.00,50대,0,1,0,1,5
4773,4.00,40대,1,1,1,0,4
4774,2.00,20대,1,0,0,0,4
4775,2.00,20대,0,1,1,0,5
4776,3.00,30대,1,0,0,0,4
4777,3.00,30대,1,1,1,0,5
4778,2.00,20대,1,1,0,0,5
4779,5.00,50대,1,0,0,0,4
4780,2.00,20대,1,1,0,0,5
4781,6.00,60대이상,1,1,0,0,5
