YEAR,ID,WEIGHT,D_NAT,D_SEX,D_AGE,AGE_GROUP_NAME,YOUNG_GEN,TYP,IS_HALLYU,TOTAL_SPEND
2019,100851,1.2142,1.00,1,3,30대,1,4,0,558.94
2019,102109,1.1517,1.00,1,6,60대이상,0,3,0,870.49
2019,102114,1.3541,1.00,1,4,40대,0,4,0,257.48
2019,102116,1.1517,1.00,1,5,50대,0,3,0,192.42
2019,102117,1.1517,1.00,1,6,60대이상,0,1,0,375.68
2019,102138,1.3541,1.00,1,4,40대,0,5,0,323.76
2019,102139,1.3834,1.00,2,3,30대,1,4,0,485.64
2019,103046,1.3834,1.00,2,3,30대,1,4,0,639.58
2019,103047,1.2992,1.00,2,4,40대,0,4,0,694.65
2019,103048,1.2992,1.00,2,4,40대,0,4,0,888.81
2019,103062,1.0223,1.00,2,5,50대,0,4,0,704.63
2019,103063,1.3834,1.00,2,3,30대,1,2,0,668.90
2019,103209,1.6139,1.00,1,2,20대,1,1,0,540.62
2019,103210,1.3834,1.00,2,3,30대,1,3,0,897.97
2019,103222,1.2972,1.00,2,2,20대,1,3,0,417.83
2019,103223,1.2972,1.00,2,2,20대,1,5,0,952.95
2019,103229,1.2972,1.00,2,2,20대,1,4,0,1072.07
2019,205117,1.6785,1.00,2,2,20대,1,4,0,789.65
2019,205120,1.6785,1.00,2,2,20대,1,5,0,909.02
2019,205121,1.6281,1.00,1,2,20대,1,5,0,703.34
2019,205124,1.6785,1.00,2,1,10대(15-19세),1,4,0,303.01
2019,205583,1.0901,1.00,1,3,30대,1,4,0,651.00
2019,205591,1.0912,1.00,1,4,40대,0,3,0,737.76
2019,205613,1.6785,1.00,2,1,10대(15-19세),1,4,0,364.98
2019,205615,1.6785,1.00,2,2,20대,1,3,0,647.33
2019,205640,0.9979,1.00,2,3,30대,1,4,0,693.24
2019,205651,1.0912,1.00,1,4,40대,0,2,0,826.38
2019,205655,1.6785,1.00,2,1,10대(15-19세),1,5,0,413.19
2019,205656,1.6785,1.00,2,1,10대(15-19세),1,4,0,771.29
2019,205657,0.9350,1.00,2,4,40대,0,3,0,973.29
2019,205734,1.0901,1.00,1,3,30대,1,4,0,1212.02
2019,205766,1.0912,1.00,1,4,40대,0,3,0,2121.04
2019,205815,1.0901,1.00,1,3,30대,1,2,0,229.55
2019,205816,1.0912,1.00,1,4,40대,0,4,0,275.46
2019,205825,1.6281,1.00,1,2,20대,1,3,0,734.56
2019,205839,0.8471,1.00,2,5,50대,0,5,0,1721.63
2019,205841,1.0912,1.00,1,4,40대,0,3,0,422.37
2019,205863,0.9979,1.00,2,3,30대,1,3,0,610.60
2019,205865,1.6785,1.00,2,2,20대,1,3,0,541.74
2019,206186,1.0901,1.00,1,3,30대,1,1,0,238.73
2019,206187,0.9350,1.00,2,4,40대,0,4,0,1129.39
2019,206188,0.9350,1.00,2,4,40대,0,4,0,954.74
2019,206190,0.8471,1.00,2,5,50대,0,5,0,1133.98
2019,206191,0.9350,1.00,2,4,40대,0,4,0,2178.89
2019,206192,1.0912,1.00,1,4,40대,0,1,0,495.83
2019,206196,0.9979,1.00,2,3,30대,1,5,0,1065.11
2019,206199,0.9350,1.00,2,4,40대,0,5,0,743.74
2019,206201,0.8471,1.00,2,6,60대이상,0,4,0,385.64
2019,206202,0.9979,1.00,2,3,30대,1,1,0,675.80
2019,206206,0.8471,1.00,2,5,50대,0,5,0,863.11
2019,206207,1.6785,1.00,2,1,10대(15-19세),1,4,0,899.84
2019,206209,1.6785,1.00,2,1,10대(15-19세),1,3,0,19401.57
2019,206274,0.8471,1.00,2,5,50대,0,4,0,293.82
2019,206372,1.6785,1.00,2,2,20대,1,3,0,1037.57
2019,1203015,1.4444,1.00,2,2,20대,1,4,0,1247.62
2019,901407,1.1512,1.00,2,6,60대이상,0,4,0,1179.57
2019,300921,3.3258,1.00,2,1,10대(15-19세),1,3,0,1179.16
2019,1203096,1.4725,1.00,1,1,10대(15-19세),1,3,0,919.30
2019,1203097,1.8406,1.00,2,5,50대,0,4,0,1523.04
2019,1205608,1.7472,1.00,1,3,30대,1,4,0,419.52
2019,901406,1.8168,1.00,2,2,20대,1,5,0,597.78
2019,901408,1.4870,1.00,1,4,40대,0,5,0,1015.09
2019,901409,1.1746,1.00,2,4,40대,0,4,0,422.96
2019,901410,1.8168,1.00,2,2,20대,1,2,0,968.10
2019,903001,1.4870,1.00,1,4,40대,0,3,0,686.13
2019,903002,1.8168,1.00,2,2,20대,1,4,0,686.13
